count,lat_bin,lon_bin,lat_center,lon_center
84,4202,-8782,42.02,-87.82000000000001
84,4177,-8776,41.77,-87.76
83,4165,-8756,41.65,-87.56
83,4197,-8790,41.97,-87.9
79,4165,-8759,41.65,-87.59
74,4170,-8752,41.7,-87.52
71,4175,-8754,41.75,-87.54
67,4173,-8772,41.730000000000004,-87.72
62,4177,-8780,41.77,-87.8
61,4194,-8784,41.94,-87.84
57,4189,-8760,41.89,-87.60000000000001
57,4173,-8773,41.730000000000004,-87.73
56,4199,-8765,41.99,-87.65
55,4168,-8769,41.68,-87.69
52,4196,-8788,41.96,-87.88
51,4170,-8755,41.7,-87.55
49,4188,-8761,41.88,-87.61
48,4196,-8789,41.96,-87.89
48,4164,-8761,41.64,-87.61
47,4200,-8789,42.0,-87.89
46,4196,-8791,41.96,-87.91
44,4177,-8777,41.77,-87.77
43,4197,-8783,41.97,-87.83
37,4201,-8776,42.01,-87.76
37,4183,-8774,41.83,-87.74
36,4200,-8788,42.0,-87.88
34,4168,-8756,41.68,-87.56
34,4196,-8792,41.96,-87.92
33,4196,-8763,41.96,-87.63
32,4197,-8787,41.97,-87.87
30,4201,-8791,42.01,-87.91
28,4197,-8786,41.97,-87.86
28,4168,-8773,41.68,-87.73
26,4167,-8757,41.67,-87.57000000000001
26,4201,-8793,42.01,-87.93
24,4166,-8758,41.660000000000004,-87.58
23,4197,-8788,41.97,-87.88
23,4169,-8752,41.69,-87.52
20,4167,-8758,41.67,-87.58
19,4200,-8791,42.0,-87.91
19,4168,-8755,41.68,-87.55
19,4176,-8754,41.76,-87.54
19,4199,-8793,41.99,-87.93
18,4166,-8757,41.660000000000004,-87.57000000000001
17,4199,-8792,41.99,-87.92
17,4182,-8759,41.82,-87.59
16,4201,-8790,42.01,-87.9
15,4169,-8773,41.69,-87.73
15,4164,-8762,41.64,-87.62
15,4195,-8790,41.95,-87.9
14,4194,-8763,41.94,-87.63
14,4164,-8760,41.64,-87.60000000000001
13,4196,-8785,41.96,-87.85000000000001
